Table,Year,Variable,Value
Report Type,1968,Non-Expedited,98
Report Type,1968,Direct,9
Report Type,1969,Expedited,1
Report Type,1969,Non-Expedited,2745
Report Type,1969,Direct,2687
Report Type,1970,Expedited,5
Report Type,1970,Non-Expedited,9979
Report Type,1970,Direct,7963
Report Type,1971,Expedited,1
Report Type,1971,Non-Expedited,8238
Report Type,1971,Direct,4917
Report Type,1972,Non-Expedited,7603
Report Type,1972,Direct,2034
Report Type,1973,Expedited,4
Report Type,1973,Non-Expedited,7305
Report Type,1973,Direct,4068
Report Type,1974,Expedited,1
Report Type,1974,Non-Expedited,7004
Report Type,1974,Direct,2248
Report Type,1975,Non-Expedited,8472
Report Type,1975,Direct,2143
Report Type,1976,Non-Expedited,6950
Report Type,1976,Direct,3870
Report Type,1976,BSR,1
Report Type,1977,Expedited,2
Report Type,1977,Non-Expedited,9919
Report Type,1977,Direct,3820
Report Type,1978,Expedited,17
Report Type,1978,Non-Expedited,7107
Report Type,1978,Direct,2311
Report Type,1979,Expedited,91
Report Type,1979,Non-Expedited,6190
Report Type,1979,Direct,1962
Report Type,1980,Expedited,119
Report Type,1980,Non-Expedited,9891
Report Type,1980,Direct,2902
Report Type,1981,Expedited,4721
Report Type,1981,Non-Expedited,7121
Report Type,1981,Direct,2658
Report Type,1982,Expedited,6971
Report Type,1982,Non-Expedited,12868
Report Type,1982,Direct,3866
Report Type,1983,Expedited,8114
Report Type,1983,Non-Expedited,20209
Report Type,1983,Direct,3698
Report Type,1984,Expedited,6756
Report Type,1984,Non-Expedited,24247
Report Type,1984,Direct,1620
Report Type,1985,Expedited,9796
Report Type,1985,Non-Expedited,26522
Report Type,1985,Direct,2481
Report Type,1986,Expedited,15848
Report Type,1986,Non-Expedited,36006
Report Type,1986,Direct,4073
Report Type,1986,BSR,1
Report Type,1987,Expedited,12972
Report Type,1987,Non-Expedited,37260
Report Type,1987,Direct,4527
Report Type,1988,Expedited,8277
Report Type,1988,Non-Expedited,37078
Report Type,1988,Direct,5783
Report Type,1989,Expedited,9461
Report Type,1989,Non-Expedited,43096
Report Type,1989,Direct,8125
Report Type,1990,Expedited,11405
Report Type,1990,Non-Expedited,53427
Report Type,1990,Direct,10367
Report Type,1990,BSR,2
Report Type,1991,Expedited,12826
Report Type,1991,Non-Expedited,52027
Report Type,1991,Direct,10434
Report Type,1991,BSR,3
Report Type,1992,Expedited,15943
Report Type,1992,Non-Expedited,77071
Report Type,1992,Direct,12940
Report Type,1993,Expedited,19111
Report Type,1993,Non-Expedited,90334
Report Type,1993,Direct,14752
Report Type,1993,BSR,1
Report Type,1994,Expedited,22205
Report Type,1994,Non-Expedited,89936
Report Type,1994,Direct,16977
Report Type,1994,BSR,4
Report Type,1995,Expedited,21833
Report Type,1995,Non-Expedited,103344
Report Type,1995,Direct,16481
Report Type,1995,BSR,9
Report Type,1996,Expedited,26312
Report Type,1996,Non-Expedited,130303
Report Type,1996,Direct,15569
Report Type,1996,BSR,20
Report Type,1997,Expedited,37707
Report Type,1997,Non-Expedited,144258
Report Type,1997,Direct,16205
Report Type,1997,BSR,64
Report Type,1998,Expedited,70818
Report Type,1998,Non-Expedited,73682
Report Type,1998,Direct,15247
Report Type,1998,BSR,143
Report Type,1999,Expedited,80970
Report Type,1999,Non-Expedited,127049
Report Type,1999,Direct,16175
Report Type,1999,BSR,169
Report Type,2000,Expedited,94160
Report Type,2000,Non-Expedited,89169
Report Type,2000,Direct,16120
Report Type,2000,BSR,350
Report Type,2001,Expedited,113680
Report Type,2001,Non-Expedited,70176
Report Type,2001,Direct,19299
Report Type,2001,BSR,53
Report Type,2002,Expedited,127770
Report Type,2002,Non-Expedited,36642
Report Type,2002,Direct,20447
Report Type,2002,BSR,20
Report Type,2003,Expedited,143656
Report Type,2003,Non-Expedited,58613
Report Type,2003,Direct,22952
Report Type,2003,BSR,13
Report Type,2004,Expedited,161335
Report Type,2004,Non-Expedited,89834
Report Type,2004,Direct,21657
Report Type,2004,BSR,5
Report Type,2005,Expedited,212087
Report Type,2005,Non-Expedited,84481
Report Type,2005,Direct,25306
Report Type,2005,BSR,5
Report Type,2006,Expedited,219143
Report Type,2006,Non-Expedited,95548
Report Type,2006,Direct,20979
Report Type,2007,Expedited,229897
Report Type,2007,Non-Expedited,110397
Report Type,2007,Direct,23031
Report Type,2008,Expedited,274092
Report Type,2008,Non-Expedited,132683
Report Type,2008,Direct,32896
Report Type,2009,Expedited,330083
Report Type,2009,Non-Expedited,126159
Report Type,2009,Direct,34166
Report Type,2010,Expedited,409063
Report Type,2010,Non-Expedited,234633
Report Type,2010,Direct,28944
Report Type,2011,Expedited,498420
Report Type,2011,Non-Expedited,255165
Report Type,2011,Direct,28042
Report Type,2012,Expedited,574943
Report Type,2012,Non-Expedited,326224
Report Type,2012,Direct,29012
Report Type,2013,Expedited,631158
Report Type,2013,Non-Expedited,409045
Report Type,2013,Direct,28390
Report Type,2014,Expedited,741482
Report Type,2014,Non-Expedited,422721
Report Type,2014,Direct,34230
Report Type,2015,Expedited,833112
Report Type,2015,Non-Expedited,845020
Report Type,2015,Direct,41659
Report Type,2016,Expedited,863270
Report Type,2016,Non-Expedited,769112
Report Type,2016,Direct,50991
Report Type,2017,Expedited,941777
Report Type,2017,Non-Expedited,801203
Report Type,2017,Direct,62030
Report Type,2018,Expedited,1155290
Report Type,2018,Non-Expedited,897308
Report Type,2018,Direct,87551
Report Type,2019,Expedited,1215041
Report Type,2019,Non-Expedited,854855
Report Type,2019,Direct,105388
Report Type,2020,Expedited,1242171
Report Type,2020,Non-Expedited,882083
Report Type,2020,Direct,78560
Report Type,2021,Expedited,1387985
Report Type,2021,Non-Expedited,868056
Report Type,2021,Direct,72549
Report Type,2022,Expedited,1308258
Report Type,2022,Non-Expedited,950762
Report Type,2022,Direct,78079
Report Type,2023,Expedited,1248041
Report Type,2023,Non-Expedited,837783
Report Type,2023,Direct,68631
Report Type,2024,Expedited,1168649
Report Type,2024,Non-Expedited,815057
Report Type,2024,Direct,58123
Reporter Region,1968,Domestic,107
Reporter Region,1969,Domestic,5150
Reporter Region,1969,Foreign,283
Reporter Region,1970,Domestic,16687
Reporter Region,1970,Foreign,1259
Reporter Region,1970,Not Specified,1
Reporter Region,1971,Domestic,12344
Reporter Region,1971,Foreign,812
Reporter Region,1972,Domestic,9214
Reporter Region,1972,Foreign,423
Reporter Region,1973,Domestic,11167
Reporter Region,1973,Foreign,210
Reporter Region,1974,Domestic,9136
Reporter Region,1974,Foreign,117
Reporter Region,1975,Domestic,10370
Reporter Region,1975,Foreign,245
Reporter Region,1976,Domestic,10590
Reporter Region,1976,Foreign,231
Reporter Region,1977,Domestic,13397
Reporter Region,1977,Foreign,344
Reporter Region,1978,Domestic,9284
Reporter Region,1978,Foreign,151
Reporter Region,1979,Domestic,8055
Reporter Region,1979,Foreign,188
Reporter Region,1980,Domestic,12575
Reporter Region,1980,Foreign,337
Reporter Region,1981,Domestic,14021
Reporter Region,1981,Foreign,479
Reporter Region,1982,Domestic,22767
Reporter Region,1982,Foreign,938
Reporter Region,1983,Domestic,29895
Reporter Region,1983,Foreign,2125
Reporter Region,1983,Not Specified,1
Reporter Region,1984,Domestic,28982
Reporter Region,1984,Foreign,3640
Reporter Region,1984,Not Specified,1
Reporter Region,1985,Domestic,33883
Reporter Region,1985,Foreign,4916
Reporter Region,1986,Domestic,47585
Reporter Region,1986,Foreign,8343
Reporter Region,1987,Domestic,47001
Reporter Region,1987,Foreign,7758
Reporter Region,1988,Domestic,46689
Reporter Region,1988,Foreign,4449
Reporter Region,1989,Domestic,56125
Reporter Region,1989,Foreign,4555
Reporter Region,1989,Not Specified,2
Reporter Region,1990,Domestic,70543
Reporter Region,1990,Foreign,4658
Reporter Region,1991,Domestic,69759
Reporter Region,1991,Foreign,5529
Reporter Region,1991,Not Specified,2
Reporter Region,1992,Domestic,98584
Reporter Region,1992,Foreign,7368
Reporter Region,1992,Not Specified,2
Reporter Region,1993,Domestic,114839
Reporter Region,1993,Foreign,9356
Reporter Region,1993,Not Specified,3
Reporter Region,1994,Domestic,119443
Reporter Region,1994,Foreign,9675
Reporter Region,1994,Not Specified,4
Reporter Region,1995,Domestic,130486
Reporter Region,1995,Foreign,11172
Reporter Region,1995,Not Specified,9
Reporter Region,1996,Domestic,156589
Reporter Region,1996,Foreign,15553
Reporter Region,1996,Not Specified,62
Reporter Region,1997,Domestic,171016
Reporter Region,1997,Foreign,20820
Reporter Region,1997,Not Specified,6398
Reporter Region,1998,Domestic,119682
Reporter Region,1998,Foreign,35185
Reporter Region,1998,Not Specified,5023
Reporter Region,1999,Domestic,175323
Reporter Region,1999,Foreign,42735
Reporter Region,1999,Not Specified,6305
Reporter Region,2000,Domestic,142433
Reporter Region,2000,Foreign,52768
Reporter Region,2000,Not Specified,4598
Reporter Region,2001,Domestic,133846
Reporter Region,2001,Foreign,65310
Reporter Region,2001,Not Specified,4052
Reporter Region,2002,Domestic,114012
Reporter Region,2002,Foreign,68454
Reporter Region,2002,Not Specified,2413
Reporter Region,2003,Domestic,149977
Reporter Region,2003,Foreign,74681
Reporter Region,2003,Not Specified,576
Reporter Region,2004,Domestic,185710
Reporter Region,2004,Foreign,86376
Reporter Region,2004,Not Specified,745
Reporter Region,2005,Domestic,217506
Reporter Region,2005,Foreign,103872
Reporter Region,2005,Not Specified,501
Reporter Region,2006,Domestic,226474
Reporter Region,2006,Foreign,108545
Reporter Region,2006,Not Specified,651
Reporter Region,2007,Domestic,235346
Reporter Region,2007,Foreign,127662
Reporter Region,2007,Not Specified,317
Reporter Region,2008,Domestic,288421
Reporter Region,2008,Foreign,150819
Reporter Region,2008,Not Specified,431
Reporter Region,2009,Domestic,309756
Reporter Region,2009,Foreign,180021
Reporter Region,2009,Not Specified,631
